Name,Hindi Name,Botanical Name,Uses,Medicinal
Aloe vera,Gheekumari,Aloe barbadensis Miller,"Skin care, digestion, immune system",1
Amla,Amla,Phyllanthus emblica,"Anti-inflammatory, digestion, hair care",1
Ashwagandha,Ashwagandha,Withania somnifera,"Stress relief, anxiety, sleep quality",1
Ajwain,Ajwain,Trachyspermum ammi,"Digestive aid, respiratory health",0
Arjuna,Arjuna,Terminalia arjuna,"Heart health, blood pressure regulation",1
Ashoka,Ashoka,Saraca asoca,"Female reproductive health, blood purification",1
Astragalus,Astragalus,Astragalus membranaceus,"Immune system support, anti-aging",1
Acorus,Vach,Acorus calamus,"Memory enhancement, digestion",1
Asparagus,Shatavari,Asparagus racemosus,"Female reproductive health, immune system",1
Ash Gourd,"Petha, Safed Kaddu",Benincasa hispida,"Weight loss, hydration, cooling effect",0
Avocado,"Makhanphal, Kulu",Persea americana,"Heart health, brain function, skin care, weight management",0
Brahmi,Brahmi,Bacopa monnieri,"Memory enhancement, stress relief",1
Basil,Tulsi,Ocimum basilicum,"Anti-inflammatory, antioxidant",1
Bitter Gourd,Karela,Momordica charantia,"Diabetes management, weight loss",1
Bay Leaf,Tej Patta,Laurus nobilis,"Digestive aid, anti-inflammatory",1
Butterfly Pea,Shankhpushpi,Clitoria ternatea,"Anxiety relief, brain function improvement",1
Borage,Gaozban,Borago officinalis,"Anti-inflammatory, respiratory health",1
Black Pepper,Kali Mirch,Piper nigrum,"Digestive aid, anti-inflammatory",1
Bael Fruit,Bel,Aegle marmelos,"Digestive aid, immune system booster",1
Bacopa,Neer Brahmi,Bacopa monnieri,"Memory enhancement, stress relief",1
Beetroot,Chukandar,Beta vulgaris,"Blood pressure regulation, antioxidant",1
Calendula,Genda Phool,Calendula officinalis,"Anti-inflammatory, skin care",1
Cannabis,Bhang,Cannabis sativa,"Pain relief, anxiety, depression",1
Cardamom,Elaichi,Elettaria cardamomum,"Digestive aid, fresh breath",0
Carom,Ajwain,Trachyspermum ammi,"Digestive aid, respiratory health",1
Catnip,Baldrian,Nepeta cataria,"Relaxant, sleep aid",0
Chamomile,Babune ka phal,Matricaria chamomilla,"Relaxant, sleep aid",1
Chia,Chia,Salvia hispanica,"Nutritious, hydrating",0
Cinnamon,Dalchini,Cinnamomum verum,"Anti-inflammatory, blood sugar control",1
Citronella,Gao Takhrai,Cymbopogon nardus,"Insect repellent, fragrance",0
Clove,Laung,Syzygium aromaticum,"Toothache relief, antibacterial",1
Coriander,Dhaniya,Coriandrum sativum,"Digestive aid, antioxidant",0
Cranberry,Karonda,Vaccinium oxycoccos,"Urinary tract health, antioxidant",0
Cumin,Jeera,Cuminum cyminum,"Digestive aid, immune system",1
Curry leaf,Kadi Patta,Murraya koenigii,"Digestive aid, hair care",1
Cypress,Sufaida,Cupressus sempervirens,"Respiratory health, skin care",0
Dandelion,Dudhi,Taraxacum officinale,"Detoxification, liver health, digestion",1
Datura,Dhatura,Datura stramonium,"Respiratory disorders, pain relief, hallucinogenic",1
Devil's claw,Shaitan ki nakhunsi,Harpagophytum procumbens,"Arthritis, pain relief, digestive issues",1
Dill,Suva,Anethum graveolens,"Digestive disorders, insomnia, menstrual cramps",0
Dogwood,Kharjura,Cornus florida,"Skin health, fever reduction, pain relief",1
Echinacea,Gulabi konpal,Echinacea purpurea,"Immune system support, cold and flu relief",1
Elderberry,Sambucus,Sambucus nigra,"Cold and flu relief, immune system support",1
Eucalyptus,Nilgiri,Eucalyptus globulus,"Respiratory disorders, insect repellant, pain relief",1
Fennel,Saunf,Foeniculum vulgare,"Digestive disorders, colic, gas, and bloating",0
Feverfew,Kadam,Tanacetum parthenium,"Migraine relief, fever reduction, inflammation",1
Garlic,Lahsun,Allium sativum,"Cardiovascular health, immune system support, antibacterial",1
Ginger,Adrak,Zingiber officinale,"Digestive disorders, nausea, inflammation",1
Ginseng,Ashwagandha,Panax ginseng,"Energy and endurance, immune system support, stress relief",1
Goldenseal,Sada bahar,Hydrastis canadensis,"Immune system support, digestive disorders, wound healing",1
Gotu kola,Brahmi booti,Centella asiatica,"Memory enhancement, cognitive function, wound healing",1
Guggulu,Guggulu,Commiphora mukul,"Cholesterol reduction, inflammation, arthritis",1
Guava,Amrud,Psidium guajava,"Immune system support, digestive disorders, skin health",1
Hibiscus,Gurhal,Hibiscus rosa-sinensis,"Hair care, skin care, menstrual cramps",1
Indian gooseberry,Amla,Phyllanthus emblica,"Immune system, digestion, hair care",1
Jasmine,Chameli,Jasminum officinale,"Aromatherapy, relaxation, skin care",0
Kava,Kava,Piper methysticum,"Anxiety, stress relief, sleep aid",1
Lavender,Lavender,Lavandula angustifolia,"Aromatherapy, relaxation, skin care",0
Moringa,Sahijan,Moringa oleifera,"Nutrition, skin care, inflammation",1
Neem,Neem,Azadirachta indica,"Skin care, oral health, insect repellent",1
Oregano,Sathra,Origanum vulgare,"Digestive health, respiratory health, antioxidant",0
Peppermint,Pudina,Mentha piperita,"Digestive health, headache relief, aromatherapy",0
Queen of the Night,Raatrani,Epiphyllum oxypetalum,"Aromatherapy, relaxation, sleep aid",0
Rose,Gulab,Rosa spp.,"Skin care, aromatherapy, menstrual cramps",0
Sage,Salvia,Salvia officinalis,"Digestive health, oral health, anti-inflammatory",0
Thyme,Ajwain,Thymus vulgaris,"Digestive health, respiratory health, antibacterial",0
Uva ursi,Baerberry,Arctostaphylos uva-ursi,"Urinary health, antibacterial, antioxidant",1
Valerian,Tagar,Valeriana officinalis,"Anxiety, stress relief, sleep aid",1
White willow,Safed willow,Salix alba,"Pain relief, inflammation, fever reducer",0
Xigua,Kharbuja,Citrullus lanatus,"Hydration, antioxidant, anti-inflammatory",0
Yellow dock,Chukhavisa,Rumex crispus,"Digestive health, skin care, antioxidant",1
Zedoary,Karchur,Curcuma zedoaria,"Digestive health, inflammation, antioxidant",1
Hawthorn,Tejpatra,Crataegus laevigata,"Used for heart problems, high blood pressure, digestion",1
Holy Basil,Tulsi,Ocimum tenuiflorum,"Used for respiratory infections, stress relief",1
Henna,Mehndi,Lawsonia inermis,"Used as hair dye, skin conditioner, pain relief",0
Hemp,Bhang,Cannabis sativa,"Used for pain relief, anxiety, inflammation",1
Honeysuckle,Madhumalati,Lonicera japonica,"Used for respiratory infections, digestive disorders",1
Horse Chestnut,Aesculus,Aesculus hippocastanum,"Used for varicose veins, circulatory disorders",1
Horseradish,Sahijan,Armoracia rusticana,"Used for respiratory infections, digestive disorders",1
Hydrangea,Kharpatwa,Hydrangea macrophylla,"Used for urinary tract infections, kidney stones",1
Irish Moss,Saragassum vulgare,Saragassum vulgare,"Respiratory health, Skin care",1
Ivy Gourd,Tindora,Coccinia grandis,"Blood sugar regulation, Digestion",1
Jambul,Jamun,Syzygium cumini,"Antidiabetic, digestive, cardio protective",1
Jatamansi,Jatamansi,Nardostachys jatamansi,"Sedative, calmative, anti-inflammatory",1
Jatropha,Ratanjot,Jatropha curcas,"Purgative, antimicrobial, anti-cancer",0
Khat,Qat,Catha edulis,"Stimulant, appetite suppressant",0
Kudzu,Vidari Kand,Pueraria lobata,"Alcoholism treatment, menopause relief",1
Lemon Balm,Billilotan,Melissa officinalis,"Digestive aid, relaxation",1
Licorice Root,"Mulhathi, Jethimadh",Glycyrrhiza glabra,"Sore throat, respiratory issues, digestive aid",1
Lemon Grass,Gandhatrina,Cymbopogon citratus,"Digestive aid, relaxation, skin care",1
Lily of the Valley,"May Lily, Konvalinka",Convallaria majalis,"Congestive heart failure, arrhythmia",1
Mango,Aam,Mangifera indica,"Culinary, medicinal",1
Mint,Pudina,Mentha spicata,"Aromatherapy, culinary, medicinal",1
Mulberry,Shahtoot,Morus nigra,"Culinary, medicinal",0
Nigella,Kalonji,Nigella sativa,"Culinary, medicinal",1
Olive,Jaitun,Olea europaea,"Culinary, medicinal",1
Onion,Pyaaz,Allium cepa,"Culinary, medicinal",1
Orange,Santra,Citrus sinensis,"Culinary, medicinal",1
Papaya,Papita,Carica papaya,"Digestive aid, skin care, wound healing",1
Parsley,"Ajmood, Dhaniya Patta",Petroselinum crispum,"Antimicrobial, digestive aid, diuretic",1
Pomegranate,Anar,Punica granatum,"Antioxidant, anti-inflammatory, heart health",1
Psyllium,"Isabgol, Ispaghula","Plantago ovata, Plantago psyllium","Digestive aid, laxative, cholesterol-lowering",1
Quinoa,Quinoa,Chenopodium quinoa,"Protein source, gluten-free grain",0
Quince,Behda,Cydonia oblonga,"Digestive health, Immunity",1
Rhubarb,Amla,Rheum rhabarbarum,"Culinary, medicinal",1
Raspberry,Hindberry,Rubus idaeus,"Culinary, medicinal",1
Red clover,Lal Trifala,Trifolium pratense,"Herbal tea, skin care, menopause relief",1
Rauwolfia,Sarpagandha,Rauwolfia serpentina,"Sedative, anti-hypertensive",1
Sandalwood,Chandan,Santalum album,"Fragrance, traditional medicine",1
Sassafras,Sassafras,Sassafras albidum,"Culinary, traditional medicine",1
Saw palmetto,-,Serenoa repens,"Prostate health, hair loss",1
Spearmint,Pudina,Mentha spicata,"Culinary, medicinal, aromatic",1
St. John's Wort,-,Hypericum perforatum,"Depression, anxiety",1
Stevia,-,Stevia rebaudiana,"Sweetener, diabetes control",1
Strawberry,-,Fragaria x ananassa,"Culinary, medicinal",0
Turmeric,Haldi,Curcuma longa,"Anti-inflammatory, antioxidant",1
Tea tree oil,Tea tree tel,Melaleuca alternifolia,"Antimicrobial, skin care",1
Tulsi,Tulsi,Ocimum tenuiflorum,"Antimicrobial, digestive aid, stress relief",1
Tomatoes,Tamatar,Solanum lycopersicum,Rich in vitamins and antioxidants,0
Tiger lily,Lal chandan,Lilium lancifolium,Ornamental plant,0
Tamarind,Imli,Tamarindus indica,"Antioxidant, digestive aid",1
Thistle,Jangli kanta,Cirsium arvense,"Anti-inflammatory, liver support",1
Vanilla,Vanila,Vanilla planifolia,"Flavoring agent, antioxidant",0
Verbena,Khasi Ghaas,Verbena officinalis,"Digestive aid, fever reducer",1
Vetiver,Khas,Chrysopogon zizanioides,"Fragrance, insect repellent",1
Violet,Banafsha,Viola odorata,"Respiratory ailments, skin care",1
White Sage,Safed bhumi dhoop,Salvia apiana,Used in smudging and aromatherapy,1
Witch Hazel,Witch hazel,Hamamelis virginiana,"Used in skincare, soothing inflammation",1
Wild Indigo,Ban-tulsi,Baptisia tinctoria,Used for immune system support,1
Wild Yam,Vidarikand,Dioscorea villosa,Used for hormonal balance and menstrual issues,1
Watercress,Jal kumbhi,Nasturtium officinale,Rich in vitamins and minerals,0
Yellow Elder,Jhendu Malli,Tecoma stans,"Fever, stomachache, diabetes, inflammation",1
Yarrow,Gandrain,Achillea millefolium,"Wound healing, colds, fever, digestive issues",1
Yellow Jessamine,Pikaleelu,Gelsemium sempervirens,"Pain relief, fever, headache, anxiety",1
Yew,Karaveera,Taxus baccata,"Cancer treatment, cough, rheumatism",1
Ylang Ylang,Mohanmallika,Cananga odorata,"Mood enhancer, relaxation, skin care",0
Zinnia,Gul-e-abrisham,Zinnia elegans,Ornamental plant,0
Zucchini,Zucchini,Cucurbita pepo,Edible fruit,0
Zygocactus,-,Schlumbergera truncata,Ornamental plant,0
Acai berry,Acai berry,Euterpe oleracea,"High in antioxidants, boosts immune system",1
Alfalfa,Alfalfa,Medicago sativa,"Detoxifying, lowers cholesterol, digestive aid",1
Andrographis,Kalmegh,Andrographis paniculata,"Fights infections, lowers fever, liver health",1
Angelica,Choraka bheda,Angelica archangelica,"Digestive aid, anti-inflammatory, relieves stress",1
Arnica,Arnica,Arnica montana,"Reduces pain and inflammation, improves circulation",1
Bacopa monnieri,Brahmi,Bacopa monnieri,"Boosts brain function, relieves stress, improves respiratory health",1
Black cohosh,Black cohosh,Actaea racemosa,"Reduces hot flashes, eases menstrual cramps, improves bone health",1
Black walnut,Black walnut,Juglans nigra,"Anti-fungal, anti-parasitic, improves digestion",1
Burdock root,Burdock,Arctium lappa,"Cleanses blood, detoxifies liver, improves skin health",1
Cat's claw,Una de gato,Uncaria tomentosa,"Boosts immune system, fights inflammation, improves arthritis symptoms",1
Chaste tree berry,Nirgundi,Vitex agnus-castus,"Regulates menstrual cycles, eases PMS symptoms, improves fertility",1
Dandelion root,Dudal,Taraxacum officinale,"Detoxifying, improves liver function, reduces bloating",1
Dong quai,Dong quai,Angelica sinensis,"Regulates menstrual cycles, eases PMS symptoms, relieves menopause symptoms",1
Echinacea purpurea,Echinacea,Echinacea purpurea,"Boosts immune system, fights respiratory infections, reduces inflammation",1
Eleuthero,Siberian ginseng,Eleutherococcus senticosus,"Boosts energy, improves brain function, reduces stress",1
Evening primrose,Evening primrose,Oenothera biennis,"Reduces PMS symptoms, improves skin health, reduces inflammation",1
Fenugreek,Methi,Trigonella foenum-graecum,"Regulates blood sugar, improves digestion, boosts testosterone",1
Ginkgo biloba,Ginkgo,Ginkgo biloba,"Improves brain function, reduces anxiety, improves vision",1
Goldenrod,Goldenrod,Solidago virgaurea,"Relieves allergies, fights infections, improves kidney function",1
Hawthorn berry,Hawthorn,Crataegus monogyna,"Improves heart health, lowers blood pressure, reduces anxiety",1
Kava kava,Kava,Piper methysticum,"Reduces anxiety, promotes relaxation, improves sleep",1
Kratom,Kratom,Mitragyna speciosa,"Relieves pain, reduces anxiety, improves mood",1
Milk thistle,Dudhi ka dardar,Silybum marianum,"Liver health, detoxification",1
Passionflower,Jhumka bel,Passiflora incarnata,"Anxiety, insomnia, ADHD",1
Red raspberry leaf,Lal aaloo bukhara ke patte,Rubus idaeus,"Menstrual cramps, labor support",1
Valerian root,Tagar,Valeriana officinalis,"Anxiety, insomnia, nervousness",1
Anthurium,Anthurium,Anthurium andreanum,Ornamental plant,0
Bird of paradise, Paradise phool,Strelitzia reginae,Ornamental plant,0
Cactus,Kaktas,Cactaceae family,Ornamental plant,0
Corn plant,Maka,Dracaena fragrans,"Ornamental plant, air purifier",0
Croton,Croton,Codiaeum variegatum,Ornamental plant,0
Dracaena, Dracaena,Dracaena spp.,"Ornamental plant, air purifier",0
English ivy,Angrezi Ivy,Hedera helix,Ornamental plant,0
Fiddle leaf fig,Violin patta,Ficus lyrata,Ornamental plant,0
Golden pothos,Sunahari Pothos,Epipremnum aureum,"Ornamental plant, air purifier",0
Jade plant,Jade Plant,Crassula ovata,Ornamental plant,0
Peace lily,Shantiman,Spathiphyllum spp.,"Ornamental plant, air purifier",0
Rubber plant,Rubber Plant,Ficus elastica,Ornamental plant,0
Snake plant,Sansevieria,Sansevieria trifasciata,"Ornamental plant, air purifier",0
Spider plant,Spider Plant,Chlorophytum comosum,"Ornamental plant, air purifier",0
Succulents, Succulents,Various,Ornamental plant,0
Swiss cheese plant, Swiss cheese plant,Monstera deliciosa,Ornamental plant,0
ZZ plant, ZZ Plant,Zamioculcas zamiifolia,Ornamental plant,0
Ash Trees,Ashvatha Vriksha,Fraxinus sp,Reduce cellulite due to its diuretic properties,1
Balsam Poplar,Balmik Poplar,Populus balsamifera,"Treats sores,wounds,fever,relief from menstural cramps",1
Barberry,Kasmard,Berberis sp.,"Helps with digestive problems,constipation,treats skin diseases like acne",1
Bay Laurel,Tejpat,Laurus nobilis,"Treatment of cancer,reduces stomach pain,stimulates the appetite",1
Bee Balm,Madhujas,Monarda sp,"Treats bee stings and bug bites,Reduces anxiety and stress",1
Beech Tree,Beech Vriksha,Fagus sp," Regulates the digestive system,Neutralizes free radicals that might contribute to cancer",1
Belladonna,Siaunati Atropa,Atropa belladonna,None that warrant the risks of using this potentially deadly toxic plant.,1
Birch Tree,Bhojpatra Vriksha,Betula sp,"Treats skin disorders, such as eczema,Fights against cellulite. ",1
Black-Eyed Susan,Kaala Aankh Vali Susan,Rudbeckia hirta,"Used to treat parasitic worms,Increase the flower of urine
",1
Blessed Thistle,Ashirwadit Kanta,Cnicus benedictus,Increases milk production and treats pain menstrual symptoms.,1
Blue Vervain,Neela Vervain,Verbena hastata,"Pain Relieving and Anti-inflammatory,Treats premenstrual syndrome",1
Borage,Gaozaban,Borago officinalis,"Treats coughs, chest congestion, and fevers,Relieves depression and anxiety. ",1
Burdock,Gokhru,Arctium lappa,"Increases urine flow,Reduces fevers.",1
California Poppy,California Posta,Eschscholzia californica,"Calms and supports the entire nervous system,Promotes healthy, restful sleep.",1
Cayenne,Lal Mirch,Capsicum annuum,"Reducing hunger, helping you feel fuller for longer,Reduces high blood pressure",1
Chickweed,Maka,Stellaria media,"Soothes inflamed skin and joints,Helps to heal wounds and infections",1
Red Clover,Laal Shamrock,Trifolium pratense,Supports proper lymphatic function and boosts your immune system.,1
Comfrey,Khamira Sag,Symphytum officinale,"Treats osteoarthritis and small injuries, such as ankle sprains",1
Cornflower,Gulabi Genda,Centaurea cyanus,Helps with fever and relifes from constipation,1
Crampbark,Gathia Keedar,Viburnum opulus,"Relieves cramps, including muscle spasms and menstrual cramps",1
Daisy,Gulbahar,Bellis perennis,"Treats coughs, bronchitis, and chest congestion. ",1
Elecampane,Pushkarmool,Inula helenium,"Used to treat coughs associated with asthma, bronchitis, and whooping cough.",1
Elderberry,Sambucus,Sambucus nigra,Helps get rid of constipation,1
Evening Primrose,Rat Ki Rani,Oenothera biennis,"Reduces PMS symptoms, like depression, bloating, irritability.",1
Feverfew,Bukhari Ke Phool,Tanacetum parthenium,Treats and prevents migraine headaches,1
Foxglove,Tilpushpi,Digitalis lanata,Used in heart medications,1
Flaxseed,Alsi,Linum usitatissimum,Lowers the risk of strokes and heart attacks,1
Ginkgo,Sona Chandan,Ginkgo biloba,"Reduces inflammation associated with arthritis, irritable bowel disease, and heart disease",1
Ground Ivy,Ghongi,Glechoma hederacea,"Helps to ease stomach problems, diarrhea, and constipation",1
Hawthorn,Nagaphani,Crataegus sp,"Reduces inflammation linked to type 2 diabetes, asthma, and certain cancers. ",1
Hazelnut Tree,Akhrot Vriksha,Corylus sp,Supporting healthy bowel movements.,1
Herb Robert,Kalkaasi,Geranium robertianum,Gets rid of headaches,1
Horehound,Kasmard,Marrubium vulgare,"Relieves constipation, bloating, and gassiness.",1
Horse Chestnut,Ghoda Akhrot,Aesculus hippocastanum,Reduces the swelling and discomfort of varicose veins,1
Hollyhock,Gul-e-Hindi,Alcea rosea,Treats breathing disorders like asthma,1
Hophornbean Tree,Shivalingi,Ostrya virginiana,Treats coughs and colds,1
Horsetail,Ghorastra,Equisetum arvense,"Encourages the growth of hair, bone, and nails",1
Hyssop,Jufa,Hyssopus officinalis,Treats coughs and chest congestion,1
Jasmine,Chameli,Jasminum officinale,"Treats liver disease, liver pain",1
Jewelweed,Nagchampa,Impatiens capenses,"Reduces post-childbirth pain and joint pain, as well as bruises and swelling. ",1
Joe Pye Weed,Joe Pye Gulab,Eutrochium s.p,"Used as a diuretic, treating kidney problems, painful urination, and more.",1
Lady’s Slipper,Mahila Joota,Cypripedium parviflorum,Treats insomnia and emotional tension,1
Lavender,Ushira,Lavandula angustifolia,Reduces blood pressure and heart rate. ,1
Lemon,Nimbu,Citrus limon,Prevents kidney stones and increases urine output,1
Lemongrass,Gandhatrina,Cymbopogon flexuosus,"Helps to reduce the spread of infections such as thrush which is a fungal infection. 
",1
Lemon Balm,Nimbu Ghaas,Melissa officinalis,Treats cold sores when applied topically,1
Licorice Root,Mulethi,Glycyrrhiza glabra,Traditionally used to improve digestion & to treat respiratory issues,1
Linden,Tilia,Tilia cordata,Treats other symptoms of the common cold and strains of influenza,1
Maple Tree,Chini Ka Ped,Acer sp,Treats kidney stones and gout ,1
Marsh Mallow,Khatmi,Althaea officinalis,"Treats digestive problems like heartburn, stomach aches, and the occasional problems ",1
Motherwort,Brahmi Booti,Leonurus cardiaca,Used for the absence of menstrual periods ,1
Mugwort,Nagadamani,Artemisia vulgaris,"Eases digestive tract problems, such as diarrhea, vomiting, and constipation",1
Mullein,Bhakhra,Verbascum thapsus,Treats migraine and pain from inflammation,1
"Nettle, Stinging",Bichchu Buti,Urtica dioica,Relieves sore and inflamed muscles,1
Passionflower,Jhapa Phool,Passiflora,"Reduces menopausal symptoms, such as anger, headaches, and depression",1
Pine Tree,Chir Pine,Pinus sp.,Reduces upper and lower respiratory tract inflammation,1
Pineapple Weed,Ananas Ke Phool,Matricaria discoidea,"Helps you relax and promotes healthy sleep, reducing insomnia. ",1
Plantain,Ereti,Plantago lanceolata,Decreases inflammation while accelerating wound healing,1
Queen Anne’s Lace,Safed Gulabi Gende,Daucus carota,Increases urine output and helps to flush toxins out of the body,1
Rose,Gulab,Rosa sp,Helps wounds heal faster while fighting off infections,1
Rosemary,Rusmary,Rosmarinus officinalis,Protects vision and eye health,1
Sage,Salvia,Salvia officinalis,Improves brain function,1
Saint John’s Wort,Guggal,Hypericum perforatum,Treats depression and sexual affective disorder,1
Sea Buckthorn,Jal Jamni,Hippophae rhamnoides,Helps your wounds heal more quickly,1
Skullcap,Bhumi Brahmi,Scutellaria sp,Treats insomnia and increases the quality of sleep,1
Slippery Elm,Sunumbra,Ulmus Rubra,Relieves irritable bowel syndrome ,1
Staghorn Sumac,Sigra,Rhus typhina,Helps to manage blood sugar levels ,1
Tea Tree,Chai Ke Ped,Melaleuca alternifolia,Treats acne and dandruff,1
Thyme,Sursav,Thymus vulgaris,Lowers your blood pressure,1
Yellow Dock,Kattha,Rumex crispus,used for pain and swelling ,1
Valerian,Tagar,Valeriana officinalis,"Treats stress, insomnia, and anxiety",1
Veronica,Sanjivani Booti,Veronica officinalis,"Treats arthritis, muscle, and joint pain",1
Violets,Banafsha,Viola sp,Relieves hemorrhoids and varicose veins ,1
Wild Lettuce,Jangli Salad,Lactuca virosa,Treats whooping cough and asthma,1
Willow,Babool,Salix sp,Relieves menstrual cramps,1
Wintergreen,Sannata,Gaultheria procumbens,Relieves headaches ,1
